Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
-0.3,-0.16,-0.13,-0.2,-0.26,-0.25,-0.25,-0.35,1.72,-3.63,7.11,-45.86,24.44,52.45,1,2,21,8.19,0.58,57.4,-42,7.5,5914,4.47,0
-0.27,-0.23,-0.27,-0.23,-0.2,-0.18,-0.25,0.03,301.19,1.16,14.21,-5.99,35.01,38.26,1,2,26,7.69,0.71,-30.7,-33.9,10.6,5373,,0
0.11,-0.09,,-0.01,0.06,0.09,0.07,0.04,203.3,-8.44,11.44,-14.61,-27.76,33.39,1,2,22,7.36,0.62,-36.4,-13.4,2.5,5881.8,4.52,0
0.03,,0.24,,,,,,234.52,61.42,-5.66,11,-76.96,77.94,1,2,20,8.12,0.57,-31.5,-70,-6.6,6102.3,4.14,0
0.11,0.06,0.02,0.08,0.11,0.06,0.09,-0.05,102.74,-17.85,-20.98,28.08,54.02,64.39,1,2,22,8.14,0.63,-74.5,-50.3,13.4,5960.5,,0
-0.04,-0.23,-0.13,-0.1,-0.26,-0.06,-0.04,,1.84,26.45,-8.73,31.14,125.1,129.21,1,1,11,7.33,1.01,-45.1,-55,-78.2,4850,2.96,0
0.24,,,,0.23,,0.13,,203.38,8.59,8.24,-8.81,13.41,18.04,1,1,13,7.96,1.03,-42.2,-20,4.5,4823.3,4.61,0
-0.13,,,-0.01,-0.11,0.03,0,-0.28,301.28,-4.31,-26.93,8.7,66.14,71.94,1,3,33,7.82,0.51,-32.6,9.3,-5.6,6134,,0
0.04,0.14,0.01,0.02,0.09,-0.05,-0.02,0.32,104.14,1.16,-11.15,-5.66,28.88,31.47,1,2,28,7.42,0.69,46.3,-59.9,-40.4,5578.3,4.4,0
-0.51,-0.34,-0.27,-0.35,-0.45,-0.39,-0.31,,1.89,-23.82,-2.57,7.89,31.59,32.66,1,2,29,8.7,0.8,-55.8,-16.7,34.7,5128.7,4.52,0
