Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
-0.79,-0.59,-0.32,-0.43,-0.57,-0.55,-0.55,-0.22,55.09,-3.22,-2.97,25.9,1.97,26.14,1,2,20,6.67,0.55,-111.1,-89.2,-43.1,5850.5,4.31,0
0.13,0.03,0.16,0.07,0.06,0.07,0.11,0.25,253.53,-4.34,9.76,-13.23,42.11,45.21,1,3,38,7.82,0.59,-5.5,-28,-12.4,5940.7,4.46,0
-0.19,-0.3,,-0.2,-0.28,-0.08,0.1,,55.14,-2.22,-3.45,20.75,-27.69,34.77,0,1,13,9.58,1.03,9999,9999,9999,4837,4.44,0
0.04,,,0.07,0.1,0.19,0.32,,350.87,45.79,-4.15,6.3,30.82,31.73,1,1,10,8.61,0.94,-3.3,-72.9,6.1,,,0
0.22,,0.31,,,,,,253.59,-25.83,-32.9,40.04,-43.36,67.57,1,2,20,7.19,0.54,-25.8,-22.2,6.3,6185.3,4.04,0
-0.25,0.05,0.13,0.09,-0.09,-0.02,0.01,-0.18,152.95,23.76,-5.9,8.95,-54.75,55.79,1,2,22,8.43,0.64,-134.1,-22.1,9.1,5667.8,4.43,0
0.06,0.07,0.05,0.19,0.09,0.14,0.26,0.12,55.2,-2.33,-7.38,33.05,-35.5,49.06,1,2,29,6.95,0.95,-48.5,-99.2,-3.9,4881,3.66,0
-0.01,-0.06,,-0.08,-0.02,0.05,0.27,,253.63,-14.58,11.58,-12.95,-36.32,40.25,0,1,13,9.73,1.03,9999,9999,9999,4822,4.36,0
0.11,,,0.09,0.15,0.09,0.32,,253.65,-42.36,1.38,-1.49,40.52,40.57,1,1,13,3.62,1.39,-32,-41.5,-9.2,4227.5,2.05,0
0.19,-0.12,-0.01,0.34,0.29,0.18,0.18,0.95,253.65,-6.15,-52.61,56.42,10.02,77.79,1,1,11,5.24,1.1,-14.7,-15.9,-1.9,4680,2.84,0
0.39,0.25,0.06,0.48,0.39,0.34,0.4,0.14,350.95,-33.38,-19.96,25.62,-78.53,84.98,1,3,38,8.47,0.58,22.8,-23.8,7.7,6091.5,,0
-0.09,-0.04,-0.01,-0.07,-0.07,-0.02,0,,253.67,-32.19,-25.48,26.25,-35.77,51.16,1,3,38,7.69,0.54,17.1,0.9,-15.3,6104.7,4.49,0
0,,,0.07,-0.06,0.08,0.01,0.06,242.85,28.44,24.84,34.47,-7.04,43.07,1,3,38,7.58,0.56,-11.9,-37.7,-11.6,6028,,0
0.08,,0.14,,,,,,253.69,62.1,-21.33,21,-26.89,40.24,1,2,25,7.07,0.68,0.6,-109.4,-4.6,5673,4.12,0
-0.01,-0.01,-0.02,0.02,0,0.06,0.06,,351.01,-34.3,-36.93,41.52,-14.62,57.45,0,2,22,8.51,0.63,9999,9999,9999,5887,4.5,0
-0.39,0.11,-0.55,-0.21,-0.32,-0.26,-0.29,-0.03,153.08,17.3,-0.89,1.03,-66.56,66.58,1,2,20,7.85,0.55,-42.5,-97.9,3.8,5957,4.2,0
0.11,0.31,0.11,,,,,,351.02,-3.65,-79.11,88.04,65.59,135.32,0,2,28,9.75,0.7,9999,9999,9999,,,0
0.04,-0.07,0.13,0.04,-0.02,0.08,0.06,0.02,351.03,-7.55,6.11,-6.71,-29.02,30.41,1,2,25,7.61,0.68,-17.1,-6,-10.9,5650,,0
0.23,0.2,0.31,0.19,0.23,0.19,0.3,0.15,159.43,-11.05,-3.16,3.16,82.46,82.58,0,2,25,8.48,0.73,9999,9999,9999,5664,,0
-0.12,-0.3,-0.18,-0.01,0,-0.07,-0.12,0.14,253.73,20.96,34.18,-31.15,77.48,90.23,1,2,28,5.4,0.97,2.1,12.5,-18.3,4890,2.88,0
-0.06,0.11,0.05,-0.1,-0.04,-0.14,-0.22,0.2,55.36,50.82,27.09,-68.01,45.5,86.19,1,2,20,8.2,0.63,63.6,-7.1,15,5791.6,3.95,0
-0.28,,-0.05,-0.23,-0.15,-0.31,-0.36,,153.12,-0.64,-46.09,48.76,-49.66,83.47,1,2,20,10.25,0.68,85.9,-104.1,34.2,5449.7,4.6,0
-0.2,-0.08,-0.17,-0.06,-0.14,-0.1,-0.07,,351.08,-72.17,-28.92,28.6,-3.73,40.84,1,2,20,6.88,0.54,13.1,-16.3,-6.7,6148.2,4.41,0
-0.1,-0.33,-0.1,0,0.02,-0.01,-0.09,0.23,253.76,25.73,-75.29,64.71,67.62,120.12,1,2,28,6.06,0.92,11.6,0.7,-12.7,,,0
0.12,0.14,0.21,0.05,0.12,0.17,0.16,0.02,153.16,-19.15,-28.25,27.94,-12.44,41.64,1,3,37,6.46,0.49,-29.7,-46.7,-19.4,6400.5,4.54,0
0.08,0.17,,0.04,0.07,0.18,0.16,0.1,153.18,-64.39,-0.57,0.54,-97.08,97.09,1,3,38,7.91,0.64,-54,-45.7,-22.8,6060,,0
0.23,0.36,,0.25,0.26,0.23,0.33,,55.42,-2.85,-28.86,60.54,-20.31,70.08,1,2,23,8.07,0.66,35.7,7,12.4,5925,4.37,0
-0.15,-0.27,,-0.1,-0.15,-0.08,0.15,,55.46,-62.77,18.04,-34.48,2.52,39,0,1,13,9.72,1.01,9999,9999,9999,4813,4.38,0
-0.12,,-0.11,,,,,,253.84,18.43,-82.34,59.61,-44.95,111.14,1,1,14,5.37,1.41,-9.7,-28.8,58.1,4050,1.96,0
0.27,,-0.02,,,,,,153.23,51.48,-17.76,15.1,61.89,66.14,1,2,20,7.57,0.65,-15.3,-2.7,33.4,5947,,0
-0.21,-0.09,0.07,-0.08,-0.13,-0.09,-0.01,,351.16,-1.74,-9.79,8.18,-74.04,75.13,0,2,28,7.54,0.82,9999,9999,9999,,,0
0.41,0.61,0.51,0.59,0.48,0.38,0.3,0.84,55.48,-58,4.46,-8.17,-76.9,77.46,0,2,25,8.43,0.79,9999,9999,9999,,,0
0.04,0.17,0.14,0.19,0.07,0.1,0.15,0.06,351.18,-52.7,-25.54,20.78,-28.02,43.23,1,2,25,7.58,0.69,20.5,-33,-7.6,5675.6,4.29,0
0.08,-0.13,-0.1,-0.01,-0.13,0.05,0.01,,55.51,-21.24,-48.88,83.36,-90.73,132.55,1,1,10,8.32,0.98,7.9,-7.2,-26.4,,,0
0.18,,0.05,0.04,-0.02,0.2,0.11,,153.32,-8.45,46.02,-32.82,-84.13,101.36,1,2,28,7.68,0.87,17.2,-1.6,-5.9,5420,4.07,0
0.16,0.19,0.08,,0.15,0.16,0.19,0.09,351.28,69.95,52.22,-34.46,69.07,93.2,1,2,24,9.25,0.66,-66.8,-38.2,-42.5,5790.5,4.37,0
-0.42,,,-0.09,-0.21,-0.3,-0.35,,351.3,34.29,-31.1,19.55,10.18,38.12,1,1,12,9.31,0.97,113.6,-55.7,-72.6,4660,4.2,0
-0.01,0.02,-0.03,0,-0.02,0.03,-0.02,-0.08,153.35,-33.03,0.84,-0.56,-22.39,22.42,1,2,20,6.38,0.59,-37.5,-47.2,-2.8,5960.1,4.48,0
-0.14,,,,,,,,253.99,-83.22,-2.19,1.14,-73.44,73.48,0,2,25,8.99,0.67,9999,9999,9999,,,0
-0.04,-0.11,0.07,-0.09,-0.04,0.01,0.03,-0.04,254.01,65.13,9.02,-4.49,11.21,15.07,1,3,38,4.89,0.48,1.2,-6.3,-26.6,6294.9,4.25,0
0.08,,,0.17,0.05,0.06,0.04,,55.67,51.17,29.26,-35.04,58.44,74.16,1,3,39,7.94,0.58,-99,-48,-10.6,6126,,0
-0.1,-0.25,,-0.11,-0.14,0.06,0.27,,55.69,-24.47,13.3,-15.53,16.08,26.01,1,1,14,9.19,1.13,25.9,-38.3,-17.4,4628.7,4.32,0
0.29,0.1,0.14,0.42,0.44,0.29,0.29,1,55.71,-37.31,32.14,-35.87,19.55,51.98,1,1,11,4.59,1.19,24,0.4,-21.9,4524.2,2.54,0
0.07,-0.04,0.37,0.05,0.06,0.01,0.08,-0.01,153.48,-72.68,71.06,-34.69,35.53,86.69,0,2,28,8.09,0.78,9999,9999,9999,,,0
-0.04,,,0.05,0.07,0.04,0.02,,153.49,-40.31,109.45,-53.19,-71.29,141.04,1,2,28,6.34,0.94,-11.3,-4.4,-16.2,5037,2.87,0
0.23,0.06,0,0.11,0.07,0.22,0.14,,55.73,56.41,68.09,-73.03,-14.43,100.88,1,1,10,8.14,0.9,6.3,-38.6,8.5,,,0
0.01,0.07,0.05,0.09,-0.01,0.01,0,-0.09,351.47,-20.62,-8.43,3.44,-45.93,46.83,1,2,23,7.76,0.6,21.8,-29.5,-15.4,5950,4.35,1
-0.31,-0.23,-0.15,-0.24,-0.24,-0.21,-0.2,-0.33,55.77,-50.64,23.43,-23.13,-13.06,35.42,1,3,39,6.97,0.51,-92.7,1.3,-25.3,6183.8,4.58,0
-0.61,-0.45,-0.13,-0.33,-0.42,-0.41,-0.37,-0.1,153.53,3.15,31.88,-13.6,-0.34,34.66,1,2,23,7.73,0.61,70.3,-32.5,-21.9,5672.8,4.39,0
0.19,0.27,0.1,0.28,0.19,0.15,0.24,0.37,55.81,-9.76,-6.34,5.75,3.01,9.07,1,1,11,3.54,0.92,-13.3,26.9,12.9,5029.1,3.82,0
0.26,,0.15,,,,,,55.85,0.45,65.99,-55.11,41.02,95.26,1,2,22,8.48,0.64,-45.4,-20.3,-16.3,,,0
-0.39,-0.11,-0.1,-0.16,-0.23,-0.3,-0.26,0.01,351.61,40.39,-78.76,19.65,39.63,90.33,1,2,28,6.81,0.95,35.3,-6,-63,4847,2.95,0
0.12,,,,,,,,351.61,8.64,-34.77,8.66,35.51,50.45,1,2,20,7.1,0.6,20.7,-62.5,-4.7,5938,4.26,1
0.1,-0.13,0.16,,0.05,0.05,0.11,0.01,254.22,-60.96,11.65,-3,38.33,40.17,1,1,10,8.3,0.9,7.7,4,3.7,4994,,0
-0.13,0.13,0.07,-0.14,-0.03,-0.16,-0.22,0.11,254.22,-2.05,32.82,-8.22,-65.33,73.57,1,3,36,8.25,0.54,-15.8,3.7,12,6111.2,4.27,0
-1.82,,-1.07,-1.83,,,-1.63,,351.64,60.63,-65.17,14.68,-91.14,112.99,1,3,33,10.47,0.47,-177.2,-189.5,-56.7,6068.1,4.32,0
0.26,0.39,0.41,0.28,0.28,0.29,0.27,0.29,153.62,21.17,36.74,-11.94,41.66,56.82,1,3,39,6.03,0.57,-33.6,-30.7,-11.2,6157.3,3.93,0
-0.17,-0.29,-0.16,-0.13,-0.06,-0.16,-0.18,0.24,55.95,19.67,67.96,-46.69,87.57,120.28,1,1,10,6.14,0.99,-92.1,-57.5,-16.1,4755,1.75,0
-0.32,,-0.08,-0.09,-0.2,-0.56,,,55.95,42.6,7.21,-4.93,-44.94,45.78,1,2,22,7.47,0.58,-68.6,-68,-1.2,5899.6,4.31,0
-0.16,0.2,-0.01,-0.23,-0.15,-0.28,-0.37,0.12,351.65,56.89,57.63,-11.94,20.68,62.38,1,3,38,7.99,0.6,17.1,-12.4,49.3,5880.6,4.19,1
-0.08,,,-0.06,-0.14,0,-0.01,,351.67,45.34,7.6,-1.46,35.45,36.28,1,2,22,7.37,0.64,-70,-32.8,-4.5,5698.5,4.15,0
-0.33,0.11,-0.06,-0.2,-0.21,-0.32,-0.41,,351.67,58.76,-63.71,12.17,87.56,108.97,1,3,38,9.07,0.63,-21.4,-67,-73,5635.7,4.07,0
-0.05,-0.16,-0.01,0.01,-0.04,-0.05,0.06,0.54,55.98,-19.11,11.36,-7.25,-3.6,13.95,1,1,12,7.08,0.93,-30.5,-14.9,-4.7,4964.4,4.56,0
0.22,0.04,,,0.07,0.04,0.16,-0.05,56.04,-38.28,11.77,-6.59,-8.89,16.16,1,1,12,7,0.87,-35.1,-16.1,-16.9,5180.8,4.5,0
0.03,,,0.25,0.15,0.2,0.08,0.44,254.38,13.88,-15.07,1.29,58.47,60.39,1,1,10,6.38,0.93,-40.4,-15.3,8.5,,,0
-0.1,0.04,0.07,-0.12,-0.01,-0.08,-0.17,0.17,351.79,54.87,-10.57,0.71,-94.47,95.06,1,3,38,7.6,0.57,-32.6,-27.1,0.1,6067.4,3.93,0
-0.03,-0.24,-0.02,0.05,0.09,0.06,-0.01,0.5,351.81,1.12,56.7,-2.65,118.04,130.98,1,1,10,6.26,1.01,-14.5,-27.5,-9.9,,,0
-0.2,,,-0.03,-0.06,-0.07,-0.03,,351.81,-58.48,-33.37,1.53,-89.67,95.69,1,2,28,5.64,0.98,-32.1,22.4,-13.3,4876,2.71,0
0,,,-0.02,0.1,0.04,0.05,,153.84,-36.52,-45.43,4.61,111.27,120.27,1,1,10,6.17,1.06,-13.3,-27.3,2.4,4796,2.64,0
0,-0.06,0.03,-0.06,0.02,0.01,-0.04,0.81,254.43,47.36,17.41,-0.75,-4.23,17.93,1,1,13,7.88,1,-25.1,-6.5,4.4,4765.5,4.7,0
0,-0.25,-0.18,0.18,0.22,0.13,-0.01,0.55,254.43,24.38,-97.01,4.15,-90.72,132.88,1,1,10,6.34,1.09,-1.5,-17.5,-19.8,4710,,0
0.16,0.2,,-0.01,0.12,0.1,0.25,0.21,351.84,-52.3,-16.31,0.25,-32.35,36.23,1,1,11,8.59,0.91,31.5,-30.1,-20.9,5136,,0
0.2,0.16,0.11,,,,,,153.89,47.37,72.58,-3.65,-18.21,74.92,1,2,20,7.72,0.7,23.6,-39.5,-10.4,5732.5,,0
0.14,0.18,-0.16,,,,,,56.18,-10.78,-10.44,4.06,50.34,51.57,1,3,37,7.94,0.6,-16.1,-19.9,-28.1,6233,,0
0.18,0.06,0.11,0.15,0.11,0.14,0.16,-0.09,56.19,-38.82,18.16,-6.82,-39.97,44.42,1,2,21,7.51,0.59,-20.3,-16.9,-48.5,6036.5,,0
0.29,0.35,0.26,0.2,0.3,0.34,0.39,,56.2,-70.03,31.58,-11.65,-43.44,54.96,1,2,20,7.41,0.63,28.5,-22.3,-8.1,6050.3,4.62,0
-0.07,,-0.16,0.03,-0.12,0,-0.05,,351.87,-61.19,-8.15,-0.11,110.17,110.47,1,3,35,8.13,0.5,48.4,2.7,-1,6400.7,4.12,0
0.05,0.07,0.05,0.1,0.01,0.1,-0.01,-0.05,351.91,-33.63,-29.7,-1.42,-39.83,49.7,1,3,37,7.51,0.53,58.6,-3.6,0.2,6216.2,4.45,0
-0.3,,-0.12,-0.18,-0.26,-0.3,-0.19,,153.98,-77.87,33.83,1.32,-26.94,43.26,1,2,28,8.95,0.78,29.8,-72,-46.4,5264.7,4.45,0
0.19,0.22,0.11,0.17,0.18,0.17,0.23,0.09,56.26,-70.02,32.26,-9.71,-43.26,54.83,1,2,20,7.56,0.6,27.5,-22.6,-8.2,6048,4.47,0
-0.05,0.14,0.22,,0.04,-0.01,,0.27,254.58,-4.34,26.26,2.9,68.33,73.26,1,3,36,8.34,0.53,-18.1,-20.7,-4.5,6157.2,4.32,0
0.1,-0.17,-0.13,-0.01,-0.1,0.08,0.02,,351.99,23.59,3.07,0.41,-124.76,124.8,1,1,11,7.86,0.94,-46.3,-22.6,6,,,0
0.12,-0.01,0.02,0.36,0.28,0.12,0.17,0.59,351.99,6.38,42.79,5.76,4.15,43.37,1,1,10,4.3,1.06,27.9,7.4,-1.3,4716.6,2.62,0
-0.16,0.06,0.01,-0.25,-0.08,-0.19,-0.25,0.11,254.6,48,44.42,6.06,-53.91,70.12,1,3,38,8.04,0.55,-26.8,-9.9,22,6084,4.23,0
0.14,-0.19,-0.07,0.19,0.25,0.22,0.13,0.56,56.32,-47.36,-112.36,26.61,27.72,118.74,1,1,11,5.72,0.96,4.9,1.4,1.8,5065.5,2.86,0
0.13,,,-0.12,0.17,0.05,0.24,,352.06,-44.46,32.95,6.85,-17.47,37.92,1,1,12,8.98,0.93,9.4,-47.2,23.2,5075,,0
0.08,0.46,0.22,0.12,0.07,0.1,0.07,-0.04,154.12,28.68,29.98,5.42,-13.17,33.19,1,2,22,6.47,0.64,-19.1,-21.5,17.5,5808.8,4.13,0
0.03,0.29,0.13,-0.01,0.1,0.14,-0.05,0.21,154.13,23.5,1.8,0.36,-31.12,31.17,1,2,22,5.97,0.66,-8.1,9.4,-44.7,5656.7,3.97,0
0.27,0.39,0.23,0.35,0.26,0.23,0.25,0.36,352.11,-37.76,60.48,15.67,-3.63,62.58,1,2,25,8.73,0.74,-15,-22.2,-39.5,5604.7,4.26,0
-0.27,-0.25,0.13,,0.25,-0.61,0.72,0.06,154.17,23.42,10.22,2.44,-72.16,72.93,1,3,30,3.41,0.31,17.4,5,-13.8,7074,3.12,0
-0.04,-0.18,-0.18,0.15,0.22,-0.01,-0.01,0.88,154.17,25.37,-102.93,-24.75,25.68,108.93,1,1,12,5.84,1.21,-72.4,-19.6,-9.3,4755,3.2,0
0.07,0.27,,0.1,0.13,0.09,0.12,,254.74,-15.81,59.6,16.67,6.46,62.22,1,2,23,8.22,0.61,6.9,-15,-4.7,5921.7,4.48,0
-0.05,-0.06,,-0.03,-0.08,-0.03,0.06,,154.23,-8.92,50.3,15.17,-29.3,60.16,0,1,10,9.52,0.8,9999,9999,9999,5310,4.45,0
-0.1,,-0.08,,,,,,154.24,25.86,-26.6,-8.17,24.8,37.27,1,2,20,7.62,0.6,47.6,-42.4,-0.6,5818.7,4.32,0
-0.11,-0.27,-0.15,-0.07,0.01,-0.08,-0.12,0.27,56.54,6.8,97.77,-0.94,56.03,112.69,1,2,29,5.91,0.99,29.4,-19.6,-0.5,,,0
0.27,,-0.06,,,,,,154.26,38.52,-54.2,-18.05,60.82,83.44,1,2,25,8.97,0.68,39.8,-25.6,-14.8,,,0
0.2,0.13,0.19,0.24,0.36,0.17,0.21,1.27,254.84,56.69,-85.94,-33.4,12.99,93.11,1,1,11,6.05,1.17,-21,-21.9,8.2,4667,2.77,0
0.16,,,0.49,0.15,0.21,0.22,0.22,56.56,42.45,3.83,0.06,-88.67,88.75,0,2,20,8.77,0.61,9999,9999,9999,,,0
0.49,,,0.09,1.63,0.41,0.24,3.73,56.58,26.22,6.74,0.24,12.71,14.39,1,0,1,9.61,1.44,-41.7,-19.2,-6.1,3726,,0
0.26,0.26,,,,,,,254.88,-7.96,7.69,3.36,-82.38,82.81,1,2,21,8.07,0.66,-30.4,-17.5,18.5,5747,,0
0.01,-0.06,0.04,0.15,0.17,0.09,0.1,0.4,352.27,23.05,-63.03,-27.79,-122.05,140.15,1,1,11,6.45,1.09,42.2,-0.3,-46.8,,,0
-0.48,,-0.43,-0.32,-0.49,-0.42,-0.4,,352.28,-51.02,39.38,17.87,-40.64,59.35,1,3,38,8.26,0.51,-24.9,8.3,-7.5,6186,4.34,0
-1.31,,,,,,,,154.31,-52.49,75.67,29.69,-106.43,133.92,0,3,35,10.03,0.45,9999,9999,9999,6190.3,4.24,0
0.11,-0.17,0.02,0.18,0.19,0.15,0.13,0.41,352.29,12.76,47.81,21.95,10.35,53.62,1,2,28,4.56,0.94,-16.2,-11.9,9.1,5001.7,2.93,0
-0.32,-0.26,-0.19,-0.19,-0.27,-0.21,-0.25,-0.33,154.31,23.11,9.14,3.57,-20.03,22.3,1,3,36,5.82,0.5,-51.2,-29.2,4.3,6104.8,4.32,0
0.02,,,0,0.13,0.19,0.37,,254.9,-53.16,86.52,39.37,-23.93,98.02,1,1,13,4.07,1.45,25.5,-1.2,3.5,4239,1.82,0
0.19,0.14,0.08,0.06,0.08,0.13,0.13,,255.01,-7.53,-11.77,-7.02,-41.02,43.25,1,2,25,7.98,0.65,5.8,9.2,-18.3,5850.3,4.55,0
0.25,,,0.39,,0.3,0.2,,154.41,-8.07,11.42,5.79,-58.65,60.03,1,3,30,5.25,0.34,-40.9,-19.1,-15,7125.5,3.76,0
0.12,0.18,0.02,0.16,0.14,0.16,0.16,-0.06,352.38,-1.04,16.92,9.64,-32.87,38.21,1,2,21,6.89,0.62,3.7,-11.4,11,5896.8,4.34,0
0.38,0.18,0.11,0.69,0.61,0.48,0.44,1.34,352.38,-4.53,-7.04,-4.08,44.82,45.56,1,1,12,6.25,1.12,-13,-68.4,-11.1,4568.2,2.68,0
0.15,0.24,0.13,0.14,0.12,0.19,0.14,,56.71,-23.25,-5.34,-0.88,16.77,17.62,1,3,35,4.2,0.43,35.2,-22.5,-20.8,6645,4.16,0
0.35,0.29,,,,,,,352.4,-6.84,81.71,49.32,-58.86,112.13,1,2,21,8.26,0.67,-2.6,-6,4.8,6081,,0
-0.22,-0.03,-0.12,-0.29,-0.2,,,-0.01,56.72,41.86,-32.24,-5.58,-53.12,62.38,1,3,38,8.27,0.61,59,-4.5,9.6,5906.8,4.26,0
-0.98,-0.63,-0.32,-0.66,-0.57,-0.76,-0.72,,56.76,41.43,-19.95,-4.26,-13.56,24.49,1,1,12,8.78,0.8,-95.4,-114.6,-77.2,5065,4.52,0
-0.27,0,-0.14,-0.2,-0.21,-0.29,-0.24,-0.01,255.07,10.82,5.98,4.09,-41.51,42.13,1,3,38,7.38,0.59,15.2,-3.1,-23.2,5931.9,4.27,0
-0.08,,,0.15,-0.08,0.01,0.05,-0.08,56.83,-29.9,2.07,0.61,38.01,38.07,1,3,36,6.55,0.51,-6.7,-28,14.1,6262.5,,0
-0.47,,-0.16,-0.17,-0.32,-0.3,-0.2,,255.13,-57.3,-17.96,-14.02,-21.16,31.1,1,2,22,7,0.58,63.5,-89.3,-23,5832.6,4.35,0
-0.13,,-0.1,0,-0.15,-0.11,-0.14,,255.19,-30.52,-33.96,-29.92,56.95,72.74,1,2,23,8.79,0.61,-57.6,-50.5,-49.2,5860.5,4.27,0
-0.8,,,,,-0.55,-0.8,,255.19,-64.55,7.6,6.72,-68.22,68.97,1,3,33,8.04,0.46,25,-25.7,12.9,6303.5,3.9,0
-0.05,-0.12,0.14,-0.07,-0.16,-0.09,0.06,,154.6,-26.5,-18.03,-14.18,-111.31,113.65,1,1,10,7.95,0.94,25.5,-31.3,7.7,4976,3.59,0
0.04,0.02,0.04,0.27,0.06,0.08,0.09,-0.02,154.66,-56.11,-24.46,-21.45,15.24,35.92,1,3,36,5.8,0.48,-41.2,-22.1,-5.8,6417.2,4.08,0
-0.04,-0.06,-0.09,-0.06,-0.09,-0.07,-0.06,-0.21,352.67,-24.2,17.29,18.12,34.05,42.27,1,2,23,7.54,0.64,-16.2,-1.7,9.8,5839.3,4.31,0
-0.18,-0.1,-0.12,-0.04,-0.16,-0.15,-0.11,-0.2,154.72,44.05,-14.37,-14.17,1.34,20.23,1,2,26,6.65,0.65,12.6,-27.5,1.7,5627,4.41,0
-0.33,-0.41,-0.28,-0.07,-0.15,-0.18,-0.16,-0.05,56.98,-30.17,24.67,11.46,81.34,85.77,1,2,26,5.54,0.97,46.1,-84.8,-41.3,4865.8,2.67,0
-0.04,0.02,-0.1,-0.01,-0.06,-0.07,-0.04,-0.11,255.29,-13.57,-10.02,-10.86,-23.05,27.38,1,2,20,7.14,0.61,90.3,-24.1,4.5,5847.8,4.24,0
-0.08,,,-0.01,-0.07,-0.03,,-0.18,154.75,51.41,-15.72,-16.55,49.65,54.64,1,2,20,6.82,0.64,20.2,-3.9,-16.8,5856,4,0
0.19,-0.04,,0.2,0.18,0.15,0.23,,352.73,-35.11,-19.89,-23.43,18.8,36.03,1,2,29,8.11,0.8,31.9,11.9,4.2,5404.5,,0
0.32,0.34,0.11,0.26,0.27,0.29,0.28,0.23,57,40.53,-43.18,-21.01,15.39,50.43,1,3,38,7.24,0.63,4.6,-9.5,13.8,6040.3,4.23,1
0.21,0.07,0.18,0.15,0.27,0.1,0.16,,255.32,60.65,38.76,44.26,-83.76,102.35,1,1,11,6.16,1.01,-22.2,-24.1,4.5,,,0
-0.31,,-0.22,-0.2,-0.33,-0.24,-0.2,,255.36,-25.29,-85.11,-106.21,-21.24,137.76,1,3,33,8.33,0.51,-46.5,-5.9,-9.2,6301,3.87,0
0.14,0.1,-0.02,0.15,0.12,0.18,0.18,0.12,154.82,-11.38,-9.81,-11.86,38.19,41.17,1,2,25,8.05,0.72,-6.9,-24,-2.6,5704.2,4.48,0
-0.22,-0.21,0.01,0.1,0.01,-0.17,-0.07,0.34,352.82,39.24,1.45,2.09,75.25,75.29,1,2,28,5.22,1.03,-65.2,-101.9,-39.1,4667.2,2.53,1
0.35,,0.42,0.39,0.33,0.39,0.44,,352.82,-33.08,-3.42,-4.92,-66.75,67.02,0,1,11,9.83,0.93,9999,9999,9999,5153,4.36,0
-0.76,,-0.45,-0.47,-0.59,-0.6,-0.62,,352.83,52.41,-26.21,-38.56,72.04,85.81,1,3,36,7.57,0.43,-37.4,10,-25,6175.8,3.61,0
0.05,0.08,0,-0.03,0.02,0.11,0.12,-0.18,352.83,-58.21,-2.82,-4.17,-55.62,55.85,1,3,37,7.81,0.51,-50.7,-11.5,4.4,6324.2,4.61,1
0.05,0.14,0.03,0.24,0.08,0.09,0.12,0.45,352.84,59.17,-8.08,-12.15,8.45,16.86,1,1,10,6.74,0.84,-70.4,-57.7,-17.4,5225.3,4.26,0
-0.34,,,-0.04,-0.2,-0.11,-0.06,-0.28,57.13,57.77,14.13,9.19,45.91,48.91,1,2,25,8.48,0.65,-19.8,-1.9,11.8,5731.5,,0
-0.03,,,0,0.1,0.06,0.05,,352.86,-44.84,36.71,57.67,-79.61,104.93,1,1,11,6.03,1.01,-13.8,-19.1,-11.5,4842,2.63,0
0.16,,,0.47,0.16,0.24,0.4,0.24,154.93,19.47,-9.21,-14.21,12.13,20.83,1,3,36,4.8,0.45,-14,-26.6,-12.2,6037.7,4.14,0
-0.36,-0.24,-0.12,-0.01,-0.2,-0.17,-0.06,-0.06,57.16,-4.42,-12.91,-9.01,52.53,54.84,1,2,28,7.64,0.77,-24.7,-15.9,-17.4,5288.5,3.93,0
-0.19,-0.16,-0.13,-0.12,-0.18,-0.1,-0.11,-0.3,352.88,-4.09,-7.9,-12.95,21.03,25.93,1,3,38,6.49,0.53,-9,-33.3,-4.9,6068.2,4.43,0
-0.3,-0.65,-0.48,-0.13,-0.22,-0.4,-0.33,0.43,154.99,19.84,-10.76,-18.98,33.39,39.89,1,1,11,1.98,1.13,73.8,-3.1,-3.7,4375.1,2.04,0
0.12,0.26,0.1,0.13,0.11,0.16,0.16,,352.93,-53.77,-22.41,-41.53,17.92,50.48,1,2,22,8.35,0.66,-10,-26.1,-20.2,5822.3,4.56,0
0.18,0.3,0.17,0.27,0.16,0.2,0.19,0.08,57.2,-40.4,-37.29,-28.14,-22.08,51.67,1,3,38,7.24,0.56,-33.9,-32.5,-20.1,6162.6,4.25,0
0.19,-0.11,-0.07,0.16,0.44,0.29,0.15,1.06,255.57,64.6,9.94,19.37,108.47,110.63,1,2,25,6.11,0.96,-18.8,-24.7,-8.3,,,0
-0.12,-0.2,-0.1,0.03,0.07,-0.03,-0.07,0.4,255.58,25.51,-40.35,-81.06,35.42,97.23,1,2,27,5.76,1.02,-60.9,8.9,-37.5,,,0
-0.24,-0.16,-0.07,-0.23,-0.2,-0.17,-0.1,0.43,255.6,-11.89,-11.48,-24.09,21.26,34.12,0,1,12,8.9,0.89,9999,9999,9999,5033.5,4.46,0
0.07,,0.15,0.18,0.06,0.11,0.05,0.16,155.06,53.78,12.55,26.16,-11.33,31.14,1,3,39,6.46,0.58,1.1,-0.3,-25.5,5987.5,,0
-0.17,,-0.35,-0.16,-0.3,-0.12,0.15,,79.8,-3.07,4.67,14.69,-1.05,15.45,1,1,13,7.76,1.05,-84.1,-56.4,13.1,4762,4.62,0
-0.07,0.05,-0.11,-0.08,-0.13,-0.08,-0.07,-0.15,255.65,47.08,6.91,16.9,0.77,18.28,1,2,28,6.74,0.73,-81.2,-7.8,-36.3,5468.5,4.43,1
